,establecimiento_id,establecimiento_nombre,origen_financiamiento,departamento_id,provincia_id,tipologia_nombre
17865,50500282158911,C.A.P.S. 219 SAN CAYETANO.-,Provincial,28,50,Con atención médica diaria y con especialidades y/o otras profesiones
17866,51140142333635,INSTITUTO CONCI CARPINELLA S.R.L II,Privado,14,14,Diagnostico por Imágenes
17867,53140982333678,SERVICIO DE EMERGENCIA E.M.A (EMERGENCIA MEDICA ASISTENCIAL),Privado,98,14,Sistema de Atención extra hospitalaria
17868,50140142333680,CENTRO MEDICO DE NUTRICION E INESTETICISMO CORPORAL,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17869,53140142333682,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO ALVI,Privado,14,14,Sistema de Atención extra hospitalaria
17870,50140142233693,DIRECCION DE ESPECIALIDADES MEDICAS - DEM NORTE,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17871,50140842133403,CENTRO DE REHABILITACION HOSPITAL LABOULAYE,Provincial,84,14,Con atención médica diaria y con especialidades y/o otras profesiones
17872,53660282373649,RIPUY INTERNACION DOMICILIARIA,Privado,28,66,Internación Domiciliaria
17873,50820842386530,CENTRO MEDICO DE RECOLECCION Y BARRIDO DE ROSARIO OSCCPTAC,Privado,84,82,Con atención médica general por lo menos 3 días de la semana
17874,52820842386531,CENTRO DE VACUNACION ASOCIACION VECINAL Y MUTUAL DE BARRIO BELGRANO,Privado,84,82,Otros
17875,50820842386532,CENTRO MEDICO NATIVIDAD DEL SEÑOR,Privado,84,82,Con atención médica general por lo menos 3 días de la semana
17876,50380212350505,POLICONSULTORIOS VIDAPYME ASOCIACION CIVIL,Privado,21,38,Con atención médica diaria y con especialidades y/o otras profesiones
17877,50700282377533,CONSULTORIOS MEDICOS DE PSIQUIATRIA Y PSICOLOGIA ROJO,Privado,28,70,Con atención médica general por lo menos 3 días de la semana
17878,53140912333421,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO SOPHI,Privado,91,14,Sistema de Atención extra hospitalaria
17879,50020012317651,CENTRO REGIONAL NIVEL B FUNDACION DR. MARIO JOSE MARRA,Privado,3,2,Con atención médica diaria y con especialidades y/o otras profesiones
17880,50140212333691,CENTRO MEDICO PRIVADO DEL CARMEN,Privado,21,14,Con atención médica diaria y con especialidades y/o otras profesiones
17881,50068402307537,I.M.E.P. INSTITUTO MEDICO ELSA PEREZ,Privado,840,6,Con atención médica diaria y con especialidades y/o otras profesiones
17882,50064412307540,CENTRO DE DIA ARBOL,Privado,441,6,Con atención médica diaria y con especialidades y/o otras profesiones
17883,53580352367259,SERVICIO INTERNACION DOMICILIARIA SAN LUCAS,Privado,35,58,Internación Domiciliaria
17884,50140282233333,PUESTO SANITARIO PALO PARADO,Municipal,28,14,Con atención médica diaria y con especialidades y/o otras profesiones
17885,51620422370474,CONSULTORIOS MEDICOS,Privado,42,62,Con atención médica diaria y con especialidades y/o otras profesiones
17886,50061342307491,"FEMINA, MEDICINA PARA LA MUJER",Privado,134,6,Con atención médica diaria y con especialidades y/o otras profesiones
17887,53140142333422,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO FXS,Privado,14,14,Sistema de Atención extra hospitalaria
17888,53140142333699,"SERVICIO DE URGENCIA,EMERGENCIA,CONSULTA MEDICA,TRASLADO Y NEONATOLOGIA ECCO S.A",Privado,14,14,Sistema de Atención extra hospitalaria
17889,53063572307539,HOGAR SUSTITUTO NUESTRA CASA,Privado,357,6,Bajo riesgo con internación simple
17890,15061262307541,HOGAR GERIATRICO SAN IGNACIO,Privado,126,6,Mediano riesgo con internación con cuidados especiales
17891,50380352150528,APS HOSPITAL CALILEGUA (12),Provincial,35,38,Con atención médica diaria y con especialidades y/o otras profesiones
17892,50380352150529,CIC NESTOR KIRCHNER (12),Provincial,35,38,Con atención médica diaria y con especialidades y/o otras profesiones
17893,51540772165656,C.A.P.S. FATIMA,Provincial,77,54,Con atención médica diaria y con especialidades y/o otras profesiones
17894,10700282377528,UNIDAD DE CUIDADOS PALIATIVOS INTEGRALES CASA DE LA BONDAD,Privado,28,70,Bajo riesgo con internación simple
17895,50900842397002,CRE-SIENDO CENTRO TERAPEUTICO INTEGRAL LIC ELSA MILIOTO,Privado,84,90,Con atención médica diaria y con especialidades y/o otras profesiones
17896,50780142383337,LABORATORIO DE ANALISIS CLINICOS  LABIC SRL,Privado,14,78,Con atención médica diaria y con especialidades y/o otras profesiones
17897,50065602307500,DIAGNOSTICO TESLA   - (MORENO),Privado,560,6,Con atención médica diaria y con especialidades y/o otras profesiones
17898,53141192333452,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO C.E.S.O.P.O.L,Privado,119,14,Sistema de Atención extra hospitalaria
17899,50140142233466,UPAS N° 23 - BARRIO VILLA EL LIBERTADOR,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17900,50020012317597,CENTRO MEDICO CORDOBA 629 PISO 12,Privado,1,2,Con atención médica diaria y con especialidades y/o otras profesiones
17901,50700562377539,POLICONSULTORIOS ELIPACE,Privado,56,70,Con atención médica diaria y con especialidades y/o otras profesiones
17902,50500562158914,C.A.P.S. 145 EL FORZUDO,Provincial,56,50,Con atención médica general por lo menos 3 días de la semana
17903,50380352150530,APS HOSPITAL PRESBISTERO ESCOLASTICO ZEGADA (10),Provincial,35,38,Con atención médica diaria y con especialidades y/o otras profesiones
17904,51900842397005,CENTRO INTEGRAL DE ANALISIS CLINICOS CIAC,Privado,84,90,Laboratorio de Análisis Clínicos
17905,50700772377540,CLINICA ESPECIALIZADA PILAR DEL OESTE,Privado,77,70,Con atención médica diaria y con especialidades y/o otras profesiones
17906,52500072358915,KINESIA REHABILITACION.-,Privado,7,50,Centro Rehabilitación motora
17907,53020012317708,SERVICIO DE INTERNACION DOMICILIARIA SALUD FAMILIAR S.R.L.,Privado,11,2,Internación Domiciliaria
17908,53300702342675,TRASLADOS TERRESTRES PROGRAMADOS PREVISORA DEL NORTE,Privado,70,30,Sistema de Atención extra hospitalaria
17909,53300842342681,SERVICIO DE EMERGENCIAS Y URGENCIAS MEDICAS MEDICAL S.R.L.,Privado,84,30,Sistema de Atención extra hospitalaria
17910,53660282373654,OPTICA Y CONTACOLOGIA SAN FRANCISCO,Privado,28,66,Óptica
17911,50068402307506,RESONANCIA MAGNETICA POR IMAGENES CASEROS,Privado,840,6,Con atención médica diaria y con especialidades y/o otras profesiones
17912,15140142333479,RESIDENCIA GERIATRICA PRIVADA LA ALDABA II,Privado,14,14,Bajo riesgo con internación simple
17913,50140142333501,CENTRO OFTALMOLOGICO HOSPITAL PRIVADO,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17914,50580982167446,PUESTO SANITARIO PARAJE AGUERRE NORTE (POR REMEDIAR),Provincial,98,58,Sin atención médica en forma periódica (menor a 3 veces por semana)
17915,50140142333522,OSPJTAP SALUD,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17916,53140212333556,SERVICIOS DE URGENCIAS MEDICAS S.RL. - SUM,Privado,21,14,Sistema de Atención extra hospitalaria
17917,53140912333557,MED - SERVICIO MEDICO PRIVADO,Privado,91,14,Sistema de Atención extra hospitalaria
17918,50140982333572,CENTRO DE REHABILITACION INTEGRAL PRIVADO ELPHIS,Privado,98,14,Con atención médica diaria y con especialidades y/o otras profesiones
17919,50380212350533,OTORRINOLARINGOLOGIA JUJUY S.R.L.,Privado,21,38,Con atención médica diaria y con especialidades y/o otras profesiones
17920,53661262373652,SIDE,Privado,126,66,Internación Domiciliaria
17921,51100492324584,CONSULTORIO DE CLINICA GINECOLOGICA Y OBSTETRICA,Privado,49,10,Otros
17922,52500212358922,ASOCIACION ESPERANZA.-,Privado,21,50,Centro de día
17923,15140142333713,RESIDENCIA GERIATRICA PRIVADA LA ALDABA I,Privado,14,14,Bajo riesgo con internación simple
