,cobertura,edad,mujer,total,provincia_id,año
150,Con cobertura,34,7836,14483,2,2010
151,Con cobertura,35,7286,13598,2,2010
152,Con cobertura,36,7058,13125,2,2010
153,Con cobertura,37,6357,12043,2,2010
154,Con cobertura,38,5945,11933,2,2010
155,Con cobertura,39,5934,11272,2,2010
156,Con cobertura,40,6045,10885,2,2010
157,Con cobertura,41,5196,9776,2,2010
158,Con cobertura,42,4908,9338,2,2010
159,Con cobertura,43,4934,9008,2,2010
160,Con cobertura,44,4716,8553,2,2010
161,Con cobertura,45,4182,8441,2,2010
162,Con cobertura,46,4180,8218,2,2010
163,Con cobertura,47,4563,8367,2,2010
164,Con cobertura,48,4200,8222,2,2010
165,Con cobertura,49,4031,7554,2,2010
166,Con cobertura,50,4589,8598,2,2010
167,Con cobertura,51,4197,7498,2,2010
168,Con cobertura,52,3978,7542,2,2010
169,Con cobertura,53,3789,7181,2,2010
170,Con cobertura,54,4427,7606,2,2010
171,Con cobertura,55,4259,7667,2,2010
172,Con cobertura,56,4066,7044,2,2010
173,Con cobertura,57,3888,7020,2,2010
174,Con cobertura,58,3523,6433,2,2010
175,Con cobertura,59,3561,6610,2,2010
176,Con cobertura,60,3735,6585,2,2010
177,Con cobertura,61,2984,5641,2,2010
178,Con cobertura,62,2615,5352,2,2010
179,Con cobertura,63,2470,5162,2,2010
180,Con cobertura,64,2398,4737,2,2010
181,Con cobertura,65,2292,4561,2,2010
182,Con cobertura,66,1877,3681,2,2010
183,Con cobertura,67,1679,2982,2,2010
184,Con cobertura,68,1741,3039,2,2010
185,Con cobertura,69,1418,2608,2,2010
186,Con cobertura,70,1504,2557,2,2010
187,Con cobertura,71,1453,2521,2,2010
188,Con cobertura,72,1457,2399,2,2010
189,Con cobertura,73,1179,2020,2,2010
190,Con cobertura,74,1126,1782,2,2010
191,Con cobertura,75,1289,1981,2,2010
192,Con cobertura,76,1076,1792,2,2010
193,Con cobertura,77,1087,1665,2,2010
194,Con cobertura,78,1186,1976,2,2010
195,Con cobertura,79,1224,1849,2,2010
196,Con cobertura,80,1171,1722,2,2010
197,Con cobertura,81,1071,1702,2,2010
198,Con cobertura,82,886,1308,2,2010
199,Con cobertura,83,752,1171,2,2010
200,Con cobertura,84,861,1189,2,2010
201,Con cobertura,85,796,1208,2,2010
202,Con cobertura,86,698,1056,2,2010
203,Con cobertura,87,596,884,2,2010
204,Con cobertura,88,488,736,2,2010
205,Con cobertura,89,425,608,2,2010
206,Con cobertura,90,316,496,2,2010
207,Con cobertura,91,272,382,2,2010
208,Con cobertura,92,238,325,2,2010
209,Con cobertura,93,226,251,2,2010
210,Con cobertura,94,137,189,2,2010
211,Con cobertura,95,104,108,2,2010
212,Con cobertura,96,92,137,2,2010
213,Con cobertura,97,45,47,2,2010
214,Con cobertura,98,36,39,2,2010
215,Con cobertura,99,17,18,2,2010
216,Con cobertura,100,17,29,2,2010
217,Con cobertura,101,4,4,2,2010
218,Con cobertura,102,2,2,2,2010
219,Con cobertura,103,4,5,2,2010
220,Con cobertura,105,1,1,2,2010
221,Con cobertura,106,0,1,2,2010
