,departamento_id,departamento_nombre,provincia_id
11191,56,GUALEGUAYCHÚ,30
11192,15,CONCORDIA,30
11193,49,PILCOMAYO,34
11194,14,FORMOSA,34
11195,56,PIRANÉ,34
11196,42,PILAGÁS,34
11197,56,PIRANÉ,34
11198,35,PATIÑO,34
11199,49,PILCOMAYO,34
11200,14,FORMOSA,34
11201,35,PATIÑO,34
11202,35,PATIÑO,34
11203,35,PATIÑO,34
11204,749,SAN FERNANDO,6
11205,252,ESCOBAR,6
11206,14,CALEU CALEU,42
11207,805,TIGRE,6
11208,7,ATREUCÓ,42
11209,7,ATREUCÓ,42
11210,756,SAN ISIDRO,6
11211,560,MORENO,6
11212,638,PILAR,6
11213,2,COMUNA 2,2
11214,371,GENERAL SAN MARTÍN,6
11215,7,ATREUCÓ,42
11216,126,RANCUL,42
11217,749,SAN FERNANDO,6
11218,2,COMUNA 2,2
11219,126,RANCUL,42
11220,252,ESCOBAR,6
11221,560,MORENO,6
11222,638,PILAR,6
11223,882,ZÁRATE ,6
11224,515,MALVINAS ARGENTINAS,6
11225,749,SAN FERNANDO,6
11226,371,GENERAL SAN MARTÍN,6
11227,28,CAPITAL,66
11228,28,CAPITAL,66
11229,28,CAPITAL,66
11230,28,CAPITAL,66
11231,28,CAPITAL,66
11232,14,CACHI,66
11233,140,ROSARIO DE LA FRONTERA,66
11234,21,CAFAYATE,66
11235,161,SANTA VICTORIA,66
11236,56,GRL. JOSÉ DE SAN MARTÍN,66
11237,7,ANTA,66
11238,28,CAPITAL,66
11239,28,CAPITAL,66
11240,98,LA VIÑA,66
11241,28,CAPITAL,66
11242,56,GRL. JOSÉ DE SAN MARTÍN,66
11243,28,CAPITAL,66
11244,56,GRL. JOSÉ DE SAN MARTÍN,66
11245,14,CACHI,66
11246,14,CACHI,66
11247,147,ROSARIO DE LERMA,66
11248,98,LA VIÑA,66
11249,84,ROSARIO,82
11250,28,CAPITAL,70
11251,63,LA CAPITAL,82
11252,42,GENERAL LÓPEZ,82
11253,21,CASTELLANOS,82
11254,84,ROSARIO,82
11255,49,GENERAL OBLIGADO,82
11256,63,LA CAPITAL,82
11257,49,GENERAL OBLIGADO,82
11258,63,LA CAPITAL,82
11259,119,SAN LORENZO,82
11260,49,GENERAL OBLIGADO,82
11261,63,LA CAPITAL,82
11262,70,LAS COLONIAS,82
11263,49,GENERAL OBLIGADO,82
11264,63,LA CAPITAL,82
11265,98,SAN JAVIER,82
11266,63,LA CAPITAL,82
11267,63,LA CAPITAL,82
11268,119,SAN LORENZO,82
11269,119,SAN LORENZO,82
11270,35,PATIÑO,34
11271,14,FORMOSA,34
11272,14,FORMOSA,34
11273,14,FORMOSA,34
11274,63,RAMÓN LISTA,34
11275,28,MATACOS,34
11276,14,FORMOSA,34
11277,14,FORMOSA,34
11278,28,MATACOS,34
11279,28,MATACOS,34
11280,42,PILAGÁS,34
11281,28,MATACOS,34
11282,14,FORMOSA,34
11283,49,PILCOMAYO,34
11284,14,FORMOSA,34
11285,28,MATACOS,34
11286,14,FORMOSA,34
11287,14,FORMOSA,34
11288,35,PATIÑO,34
11289,42,PILAGÁS,34
11290,35,PATIÑO,34
11291,56,PIRANÉ,34
11292,35,PATIÑO,34
11293,35,PATIÑO,34
11294,7,CAPITAL,50
11295,7,CAPITAL,50
11296,434,LANÚS,6
11297,11,COMUNA 11,2
11298,21,CAPITAL,42
11299,21,CAPITAL,42
11300,434,LANÚS,6
11301,21,CAPITAL,42
11302,274,FLORENCIO VARELA,6
11303,756,SAN ISIDRO,6
11304,21,CAPITAL,42
11305,760,SAN MIGUEL,6
11306,21,CAPITAL,42
11307,638,PILAR,6
11308,21,CAPITAL,42
11309,252,ESCOBAR,6
11310,21,CAPITAL,42
11311,861,VICENTE LÓPEZ,6
11312,21,CAPITAL,42
11313,760,SAN MIGUEL,6
11314,638,PILAR,6
11315,756,SAN ISIDRO,6
11316,371,GENERAL SAN MARTÍN,6
11317,91,BERAZATEGUI,6
11318,28,ALMIRANTE BROWN,6
11319,260,ESTEBAN ECHEVERRÍA,6
11320,161,SANTA VICTORIA,66
11321,161,SANTA VICTORIA,66
11322,56,GRL. JOSÉ DE SAN MARTÍN,66
11323,126,ORÁN,66
11324,70,IRUYA,66
11325,119,MOLINOS,66
11326,119,MOLINOS,66
11327,98,LA VIÑA,66
11328,56,GRL. JOSÉ DE SAN MARTÍN,66
11329,140,ROSARIO DE LA FRONTERA,66
11330,56,GRL. JOSÉ DE SAN MARTÍN,66
11331,126,ORÁN,66
11332,63,GUACHIPAS,66
11333,154,SAN CARLOS,66
11334,105,LOS ANDES,66
11335,133,RIVADAVIA,66
11336,63,LUJÁN DE CUYO,50
11337,56,LAVALLE,50
11338,126,ORÁN,66
11339,126,ORÁN,66
11340,154,SAN CARLOS,66
11341,56,GRL. JOSÉ DE SAN MARTÍN,66
11342,56,GRL. JOSÉ DE SAN MARTÍN,66
11343,7,ANTA,66
11344,49,GENERAL GÜEMES,66
11345,21,CASTELLANOS,82
11346,7,BELGRANO,82
11347,133,VERA,82
11348,28,CONSTITUCIÓN,82
11349,42,GENERAL LÓPEZ,82
11350,105,SAN JERÓNIMO,82
11351,98,SAN JAVIER,82
11352,21,CASTELLANOS,82
11353,21,CASTELLANOS,82
11354,98,SAN JAVIER,82
11355,21,CASTELLANOS,82
11356,35,GARAY,82
11357,91,SAN CRISTÓBAL,82
11358,21,CASTELLANOS,82
11359,84,ROSARIO,82
11360,56,IRIONDO,82
11361,84,ROSARIO,82
11362,63,LA CAPITAL,82
11363,70,LAS COLONIAS,82
11364,84,ROSARIO,82
11365,84,ROSARIO,82
11366,84,ROSARIO,82
11367,35,PATIÑO,34
11368,35,PATIÑO,34
11369,56,PIRANÉ,34
11370,14,FORMOSA,34
11371,14,FORMOSA,34
11372,14,FORMOSA,34
11373,14,FORMOSA,34
11374,14,FORMOSA,34
11375,35,PATIÑO,34
11376,14,FORMOSA,34
11377,14,FORMOSA,34
11378,14,FORMOSA,34
11379,14,FORMOSA,34
11380,14,EL CARMEN,38
11381,35,LEDESMA,38
11382,28,HUMAHUACA,38
11383,70,SANTA BÁRBARA,38
11384,35,AVELLANEDA,6
11385,14,ALBERDI,86
11386,21,ATAMISQUI,86
11387,63,CHOYA,86
11388,161,ROBLES,86
11389,182,SARMIENTO,86
11390,91,JIMÉNEZ,86
11391,490,LOMAS DE ZAMORA,6
11392,182,SARMIENTO,86
11393,28,ALMIRANTE BROWN,6
11394,274,FLORENCIO VARELA,6
11395,434,LANÚS,6
11396,490,LOMAS DE ZAMORA,6
11397,274,FLORENCIO VARELA,6
11398,490,LOMAS DE ZAMORA,6
11399,21,CAPITAL,42
11400,21,CAPITAL,42
11401,21,CAPITAL,42
11402,21,CAPITAL,42
11403,6,COMUNA 6,2
11404,3,COMUNA 3,2
11405,56,PIRANÉ,34
11406,274,FLORENCIO VARELA,6
11407,658,QUILMES,6
11408,434,LANÚS,6
11409,861,VICENTE LÓPEZ,6
11410,658,QUILMES,6
11411,21,CAPITAL,42
11412,658,QUILMES,6
11413,21,CAPITAL,42
11414,21,CAPITAL,42
11415,21,CAPITAL,42
11416,434,LANÚS,6
11417,490,LOMAS DE ZAMORA,6
11418,490,LOMAS DE ZAMORA,6
11419,11,COMUNA 11,2
