,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad,año
55,50,Múltiple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,4,2022
56,2,Sin especificar,Varón,15 a 19,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
57,86,Simple,Sin especificar,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
58,6,Simple,Varón,De 45 y más,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9,2022
59,34,Simple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
60,18,Simple,Varón,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
61,66,Simple,Varón,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,441,2022
62,38,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,114,2022
63,62,Simple,Mujer,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,58,2022
64,62,Simple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,408,2022
65,86,Simple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,7,2022
66,82,Simple,Mujer,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,6,2022
67,99,Simple,Mujer,40 a 44,Sin especificar,Sin especificar,Sin especificar,5,2022
68,62,Múltiple,Mujer,25 a 29,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
69,6,Simple,Varón,15 a 19,24 a 27,Sin especificar,Menos de 2500 gramos,5,2022
70,22,Simple,Sin especificar,25 a 29,Sin especificar,Sin especificar,Sin especificar,2,2022
71,14,Simple,Mujer,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,16,2022
72,2,Sin especificar,Varón,15 a 19,Sin especificar,Sin especificar,Sin especificar,1,2022
73,6,Múltiple,Varón,15 a 19,32 a 36,Sin especificar,Menos de 2500 gramos,5,2022
74,94,Simple,Varón,20 a 24,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
75,14,Simple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,563,2022
76,26,Simple,Varón,15 a 19,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
77,18,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
78,38,Simple,Varón,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
79,34,Múltiple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
80,6,Múltiple,Mujer,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
81,70,Simple,Mujer,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
82,74,Simple,Mujer,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,49,2022
83,99,Sin especificar,Varón,20 a 24,32 a 36,Sin especificar,2500 gramos y más,1,2022
84,62,Simple,Varón,30 a 34,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
85,22,Múltiple,Mujer,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
86,99,Sin especificar,Mujer,30 a 34,37 a 41,Sin especificar,Menos de 2500 gramos,7,2022
87,18,Simple,Mujer,35 a 39,32 a 36,Sin especificar,2500 gramos y más,6,2022
88,66,Simple,Mujer,30 a 34,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,73,2022
89,82,Simple,Varón,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,75,2022
90,90,Simple,Varón,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,2,2022
91,18,Múltiple,Varón,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
92,94,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
93,10,Simple,Varón,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,28,2022
94,90,Múltiple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
95,66,Simple,Mujer,De 45 y más,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
96,34,Simple,Mujer,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
97,14,Múltiple,Varón,20 a 24,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
98,6,Sin especificar,Mujer,De 45 y más,37 a 41,Sin especificar,2500 gramos y más,3,2022
99,26,Múltiple,Mujer,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
100,78,Múltiple,Mujer,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
101,50,Múltiple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
102,82,Simple,Varón,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,33,2022
103,2,Sin especificar,Varón,30 a 34,37 a 41,Sin especificar,2500 gramos y más,164,2022
104,58,Múltiple,Mujer,30 a 34,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,4,2022
105,62,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,16,2022
106,66,Simple,Varón,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,7,2022
