,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad,año
1512,82,Simple,Mujer,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,13,2022
1513,90,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,11,2022
1514,18,Múltiple,Varón,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1515,6,Simple,Mujer,40 a 44,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1516,18,Simple,Mujer,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,86,2022
1517,66,Simple,Varón,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
1518,38,Simple,Varón,40 a 44,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1519,34,Simple,Varón,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,77,2022
1520,90,Múltiple,Mujer,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
1521,62,Simple,Mujer,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
1522,94,Simple,Mujer,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,5,2022
1523,98,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
1524,54,Simple,Varón,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,607,2022
1525,2,Múltiple,Mujer,30 a 34,28 a 31,Sin especificar,Menos de 2500 gramos,2,2022
1526,6,Simple,Sin especificar,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1527,2,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
1528,14,Múltiple,Varón,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
1529,38,Múltiple,Varón,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1530,34,Múltiple,Varón,25 a 29,37 a 41,Sin especificar,2500 gramos y más,1,2022
1531,30,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,156,2022
1532,62,Múltiple,Varón,30 a 34,42 y más,Sin especificar,2500 gramos y más,2,2022
1533,14,Simple,Varón,15 a 19,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1534,14,Simple,Varón,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,230,2022
1535,66,Simple,Varón,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Sin especificar,1,2022
1536,86,Simple,Mujer,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
1537,90,Simple,Varón,25 a 29,42 y más,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1538,50,Múltiple,Mujer,25 a 29,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1539,46,Múltiple,Varón,30 a 34,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
1540,82,Simple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,15,2022
1541,90,Simple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,121,2022
1542,54,Simple,Varón,20 a 24,37 a 41,Sin especificar,2500 gramos y más,94,2022
1543,2,Sin especificar,Mujer,15 a 19,28 a 31,Sin especificar,Menos de 2500 gramos,1,2022
1544,66,Simple,Mujer,25 a 29,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
1545,66,Simple,Varón,Menor de 15,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1546,26,Simple,Varón,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5,2022
1547,50,Simple,Varón,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
1548,22,Simple,Varón,35 a 39,Sin especificar,Sin especificar,2500 gramos y más,1,2022
1549,50,Simple,Varón,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,147,2022
1550,66,Simple,Varón,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10,2022
1551,90,Simple,Varón,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,13,2022
1552,6,Múltiple,Varón,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,6,2022
1553,82,Múltiple,Mujer,35 a 39,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1554,74,Simple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
1555,42,Simple,Mujer,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1556,14,Múltiple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,14,2022
1557,50,Simple,Mujer,De 45 y más,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1558,74,Simple,Varón,40 a 44,37 a 41,Sin especificar,2500 gramos y más,8,2022
1559,54,Simple,Mujer,40 a 44,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1560,14,Simple,Mujer,20 a 24,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,7,2022
1561,86,Múltiple,Varón,20 a 24,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1562,6,Simple,Varón,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,259,2022
1563,62,Múltiple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1564,6,Simple,Varón,Sin especificar,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
1565,82,Simple,Varón,30 a 34,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
1566,30,Simple,Varón,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5,2022
1567,54,Múltiple,Mujer,40 a 44,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1568,2,Simple,Mujer,35 a 39,32 a 36,Sin especificar,Menos de 2500 gramos,6,2022
1569,6,Simple,Mujer,40 a 44,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
1570,78,Simple,Mujer,20 a 24,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,7,2022
1571,26,Simple,Mujer,De 45 y más,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1572,86,Simple,Mujer,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10,2022
1573,6,Simple,Varón,30 a 34,28 a 31,Sin especificar,Menos de 2500 gramos,13,2022
1574,18,Simple,Mujer,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,6,2022
1575,46,Múltiple,Mujer,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
1576,90,Múltiple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
1577,30,Simple,Mujer,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,694,2022
1578,62,Simple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,319,2022
1579,18,Simple,Varón,35 a 39,28 a 31,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1580,6,Simple,Varón,Sin especificar,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1581,86,Simple,Mujer,25 a 29,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5,2022
1582,26,Múltiple,Varón,25 a 29,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
1583,6,Simple,Mujer,Sin especificar,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
1584,6,Múltiple,Varón,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,11,2022
1585,34,Simple,Mujer,40 a 44,37 a 41,Sin especificar,2500 gramos y más,27,2022
1586,86,Múltiple,Mujer,35 a 39,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1587,34,Simple,Mujer,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1588,90,Múltiple,Varón,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1589,82,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,18,2022
1590,70,Simple,Varón,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
1591,14,Simple,Mujer,20 a 24,22 a 23,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1592,6,Múltiple,Varón,20 a 24,37 a 41,Sin especificar,Menos de 2500 gramos,3,2022
1593,54,Simple,Varón,40 a 44,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1594,78,Simple,Varón,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1595,62,Múltiple,Mujer,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1596,46,Simple,Mujer,25 a 29,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1597,6,Simple,Mujer,35 a 39,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,3,2022
1598,70,Múltiple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
1599,2,Simple,Varón,15 a 19,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1600,22,Simple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,18,2022
1601,22,Simple,Varón,25 a 29,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,10,2022
1602,18,Simple,Mujer,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,8,2022
1603,74,Simple,Mujer,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,7,2022
1604,26,Simple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,7,2022
1605,70,Simple,Varón,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
1606,90,Simple,Mujer,35 a 39,28 a 31,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
1607,99,Sin especificar,Mujer,25 a 29,32 a 36,Sin especificar,2500 gramos y más,3,2022
1608,62,Simple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,8,2022
1609,90,Múltiple,Varón,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,8,2022
1610,18,Simple,Varón,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
1611,14,Simple,Varón,35 a 39,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,7,2022
1612,6,Simple,Mujer,40 a 44,37 a 41,Sin especificar,2500 gramos y más,266,2022
1613,6,Simple,Varón,30 a 34,Sin especificar,Sin especificar,Sin especificar,111,2022
1614,82,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,50,2022
1615,54,Simple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,27,2022
1616,26,Simple,Varón,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
1617,18,Simple,Mujer,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,415,2022
1618,86,Simple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,273,2022
1619,2,Múltiple,Mujer,35 a 39,37 a 41,Sin especificar,2500 gramos y más,3,2022
1620,82,Simple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,54,2022
1621,86,Simple,Varón,Sin especificar,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,5,2022
1622,10,Simple,Varón,25 a 29,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1623,90,Múltiple,Varón,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1624,54,Múltiple,Varón,30 a 34,37 a 41,Sin especificar,Menos de 2500 gramos,1,2022
1625,62,Simple,Mujer,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,88,2022
1626,30,Simple,Varón,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,19,2022
1627,46,Simple,Mujer,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
1628,82,Simple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,24,2022
1629,34,Múltiple,Mujer,35 a 39,37 a 41,Sin especificar,Menos de 2500 gramos,3,2022
1630,2,Sin especificar,Varón,40 a 44,Sin especificar,Sin especificar,Sin especificar,2,2022
1631,18,Simple,Mujer,15 a 19,37 a 41,Sin especificar,Menos de 2500 gramos,7,2022
1632,30,Simple,Varón,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
1633,34,Simple,Mujer,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,17,2022
1634,99,Simple,Mujer,15 a 19,37 a 41,Sin especificar,2500 gramos y más,4,2022
1635,22,Simple,Mujer,25 a 29,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1636,2,Simple,Varón,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,5,2022
1637,2,Simple,Mujer,35 a 39,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1638,42,Simple,Mujer,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1639,38,Múltiple,Mujer,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1640,6,Simple,Varón,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1641,62,Simple,Mujer,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,13,2022
1642,86,Simple,Varón,Menor de 15,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1643,30,Simple,Varón,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10,2022
1644,2,Múltiple,Varón,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,11,2022
1645,38,Simple,Mujer,20 a 24,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1646,18,Múltiple,Varón,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
1647,22,Simple,Varón,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
1648,82,Múltiple,Mujer,20 a 24,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
1649,54,Múltiple,Mujer,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
1650,2,Sin especificar,Mujer,25 a 29,37 a 41,Sin especificar,Menos de 2500 gramos,1,2022
1651,99,Sin especificar,Mujer,20 a 24,32 a 36,Sin especificar,2500 gramos y más,1,2022
1652,2,Simple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,9,2022
1653,38,Simple,Varón,20 a 24,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
1654,94,Múltiple,Mujer,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1655,74,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6,2022
1656,86,Simple,Mujer,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,18,2022
1657,54,Simple,Varón,25 a 29,32 a 36,Sin especificar,Menos de 2500 gramos,3,2022
1658,6,Múltiple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,11,2022
1659,6,Simple,Sin especificar,Sin especificar,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
1660,82,Simple,Mujer,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
1661,6,Simple,Mujer,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,3,2022
1662,82,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,55,2022
1663,18,Simple,Mujer,35 a 39,37 a 41,Sin especificar,Menos de 2500 gramos,5,2022
1664,2,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,19,2022
1665,54,Simple,Varón,30 a 34,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1666,38,Múltiple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9,2022
1667,6,Múltiple,Varón,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Sin especificar,1,2022
1668,62,Simple,Varón,25 a 29,Menos de 22,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1669,6,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,210,2022
1670,14,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,39,2022
1671,18,Simple,Varón,25 a 29,24 a 27,Sin especificar,Menos de 2500 gramos,2,2022
1672,78,Simple,Varón,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1673,22,Simple,Varón,20 a 24,37 a 41,Sin especificar,Menos de 2500 gramos,1,2022
1674,70,Múltiple,Mujer,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
1675,50,Múltiple,Varón,20 a 24,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
1676,6,Simple,Mujer,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,32,2022
1677,66,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1380,2022
1678,62,Múltiple,Mujer,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1679,42,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,279,2022
1680,90,Múltiple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
1681,6,Simple,Varón,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,3,2022
1682,70,Simple,Mujer,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5,2022
1683,42,Múltiple,Varón,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
1684,22,Simple,Varón,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,12,2022
1685,54,Múltiple,Varón,25 a 29,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1686,34,Simple,Mujer,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1687,62,Múltiple,Varón,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
1688,18,Simple,Varón,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,99,2022
1689,6,Simple,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,6,2022
1690,18,Múltiple,Varón,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1691,2,Sin especificar,Mujer,Menor de 15,37 a 41,Sin especificar,2500 gramos y más,2,2022
1692,70,Simple,Varón,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,82,2022
1693,54,Simple,Mujer,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,396,2022
1694,62,Simple,Varón,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1695,18,Simple,Mujer,30 a 34,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1696,82,Múltiple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
1697,2,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2532,2022
1698,54,Múltiple,Varón,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1699,99,Simple,Varón,20 a 24,37 a 41,Sin especificar,2500 gramos y más,11,2022
1700,6,Simple,Mujer,25 a 29,32 a 36,Sin especificar,2500 gramos y más,84,2022
1701,22,Simple,Varón,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Sin especificar,1,2022
1702,58,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
1703,22,Simple,Varón,25 a 29,32 a 36,Sin especificar,Menos de 2500 gramos,3,2022
1704,22,Simple,Mujer,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,373,2022
1705,30,Múltiple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
1706,54,Simple,Varón,25 a 29,28 a 31,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
1707,2,Simple,Varón,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1708,94,Simple,Varón,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
1709,6,Simple,Varón,De 45 y más,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
1710,74,Simple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,242,2022
1711,6,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,11,2022
1712,94,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,122,2022
1713,14,Múltiple,Mujer,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1714,6,Simple,Mujer,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,37,2022
1715,66,Simple,Varón,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,1,2022
1716,90,Simple,Varón,20 a 24,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
1717,6,Simple,Varón,Sin especificar,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
1718,86,Simple,Varón,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
1719,78,Simple,Varón,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,45,2022
1720,30,Simple,Mujer,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,511,2022
1721,42,Simple,Varón,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
1722,74,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,8,2022
1723,90,Simple,Varón,35 a 39,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
1724,58,Simple,Mujer,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
1725,6,Simple,Mujer,35 a 39,28 a 31,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
1726,62,Simple,Mujer,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
1727,22,Simple,Mujer,25 a 29,28 a 31,Sin especificar,Menos de 2500 gramos,1,2022
1728,50,Simple,Mujer,15 a 19,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1729,18,Simple,Mujer,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5,2022
1730,42,Simple,Mujer,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,21,2022
1731,26,Simple,Mujer,20 a 24,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1732,22,Múltiple,Mujer,25 a 29,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
1733,70,Múltiple,Varón,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1734,30,Múltiple,Varón,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5,2022
1735,50,Simple,Mujer,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,846,2022
1736,2,Múltiple,Mujer,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
1737,66,Múltiple,Varón,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
1738,38,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,6,2022
1739,18,Simple,Varón,35 a 39,37 a 41,Sin especificar,2500 gramos y más,139,2022
1740,22,Simple,Mujer,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1741,42,Múltiple,Mujer,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
1742,18,Múltiple,Mujer,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
1743,6,Múltiple,Varón,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,84,2022
1744,2,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,16,2022
1745,2,Simple,Mujer,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,8,2022
1746,38,Simple,Mujer,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1747,18,Simple,Mujer,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,136,2022
1748,30,Múltiple,Mujer,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
1749,26,Simple,Varón,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
1750,90,Simple,Varón,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,8,2022
1751,90,Simple,Mujer,40 a 44,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
1752,6,Simple,Varón,De 45 y más,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
1753,14,Simple,Mujer,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
1754,34,Simple,Varón,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
