,cobertura,edad,varon,mujer,total,provincia
74,Obra social (incluye PAMI),70,6464,11378,17842,Ciudad Autónoma de Buenos Aires
75,Obra social (incluye PAMI),71,5530,8739,14269,Ciudad Autónoma de Buenos Aires
76,Obra social (incluye PAMI),72,5710,8853,14563,Ciudad Autónoma de Buenos Aires
77,Obra social (incluye PAMI),73,5086,8477,13563,Ciudad Autónoma de Buenos Aires
78,Obra social (incluye PAMI),74,5348,8354,13702,Ciudad Autónoma de Buenos Aires
79,Obra social (incluye PAMI),75,5184,9243,14427,Ciudad Autónoma de Buenos Aires
80,Obra social (incluye PAMI),76,4588,8740,13328,Ciudad Autónoma de Buenos Aires
81,Obra social (incluye PAMI),77,4977,8015,12992,Ciudad Autónoma de Buenos Aires
82,Obra social (incluye PAMI),78,5015,8987,14002,Ciudad Autónoma de Buenos Aires
83,Obra social (incluye PAMI),79,4803,8512,13315,Ciudad Autónoma de Buenos Aires
84,Obra social (incluye PAMI),80,4560,9129,13689,Ciudad Autónoma de Buenos Aires
85,Obra social (incluye PAMI),81,3965,8101,12066,Ciudad Autónoma de Buenos Aires
86,Obra social (incluye PAMI),82,3697,7970,11667,Ciudad Autónoma de Buenos Aires
87,Obra social (incluye PAMI),83,3305,7460,10765,Ciudad Autónoma de Buenos Aires
88,Obra social (incluye PAMI),84,2491,6981,9472,Ciudad Autónoma de Buenos Aires
89,Obra social (incluye PAMI),85,2855,6684,9539,Ciudad Autónoma de Buenos Aires
90,Obra social (incluye PAMI),86,2348,5968,8316,Ciudad Autónoma de Buenos Aires
91,Obra social (incluye PAMI),87,1925,5018,6943,Ciudad Autónoma de Buenos Aires
92,Obra social (incluye PAMI),88,1560,4710,6270,Ciudad Autónoma de Buenos Aires
93,Obra social (incluye PAMI),89,1316,3781,5097,Ciudad Autónoma de Buenos Aires
94,Obra social (incluye PAMI),90,1028,3234,4262,Ciudad Autónoma de Buenos Aires
95,Obra social (incluye PAMI),91,725,2050,2775,Ciudad Autónoma de Buenos Aires
96,Obra social (incluye PAMI),92,537,1823,2360,Ciudad Autónoma de Buenos Aires
97,Obra social (incluye PAMI),93,232,1642,1874,Ciudad Autónoma de Buenos Aires
98,Obra social (incluye PAMI),94,282,1221,1503,Ciudad Autónoma de Buenos Aires
99,Obra social (incluye PAMI),95,193,931,1124,Ciudad Autónoma de Buenos Aires
100,Obra social (incluye PAMI),96,122,634,756,Ciudad Autónoma de Buenos Aires
101,Obra social (incluye PAMI),97,66,446,512,Ciudad Autónoma de Buenos Aires
102,Obra social (incluye PAMI),98,61,362,423,Ciudad Autónoma de Buenos Aires
103,Obra social (incluye PAMI),99,36,162,198,Ciudad Autónoma de Buenos Aires
104,Obra social (incluye PAMI),100,26,199,225,Ciudad Autónoma de Buenos Aires
105,Obra social (incluye PAMI),101,1,94,95,Ciudad Autónoma de Buenos Aires
106,Obra social (incluye PAMI),102,11,64,75,Ciudad Autónoma de Buenos Aires
107,Obra social (incluye PAMI),103,-,27,27,Ciudad Autónoma de Buenos Aires
108,Obra social (incluye PAMI),104,10,17,27,Ciudad Autónoma de Buenos Aires
109,Obra social (incluye PAMI),105,3,6,9,Ciudad Autónoma de Buenos Aires
110,Obra social (incluye PAMI),106,-,4,4,Ciudad Autónoma de Buenos Aires
111,Obra social (incluye PAMI),107,-,2,2,Ciudad Autónoma de Buenos Aires
112,Obra social (incluye PAMI),108,-,1,1,Ciudad Autónoma de Buenos Aires
113,Obra social (incluye PAMI),109,1,2,3,Ciudad Autónoma de Buenos Aires
114,Obra social (incluye PAMI),110,-,10,10,Ciudad Autónoma de Buenos Aires
116,Prepaga a través de obra social,,Varón,Mujer,Total,Ciudad Autónoma de Buenos Aires
117,Prepaga a través de obra social,0,4954,4441,9395,Ciudad Autónoma de Buenos Aires
118,Prepaga a través de obra social,1,4285,4230,8515,Ciudad Autónoma de Buenos Aires
119,Prepaga a través de obra social,2,4576,4292,8868,Ciudad Autónoma de Buenos Aires
120,Prepaga a través de obra social,3,4255,3957,8212,Ciudad Autónoma de Buenos Aires
121,Prepaga a través de obra social,4,4149,4185,8334,Ciudad Autónoma de Buenos Aires
122,Prepaga a través de obra social,5,4468,4183,8651,Ciudad Autónoma de Buenos Aires
123,Prepaga a través de obra social,6,4009,3710,7719,Ciudad Autónoma de Buenos Aires
124,Prepaga a través de obra social,7,3654,3642,7296,Ciudad Autónoma de Buenos Aires
125,Prepaga a través de obra social,8,3728,3714,7442,Ciudad Autónoma de Buenos Aires
126,Prepaga a través de obra social,9,3743,3792,7535,Ciudad Autónoma de Buenos Aires
127,Prepaga a través de obra social,10,3608,3328,6936,Ciudad Autónoma de Buenos Aires
128,Prepaga a través de obra social,11,3208,3022,6230,Ciudad Autónoma de Buenos Aires
129,Prepaga a través de obra social,12,3436,3248,6684,Ciudad Autónoma de Buenos Aires
130,Prepaga a través de obra social,13,2800,2835,5635,Ciudad Autónoma de Buenos Aires
131,Prepaga a través de obra social,14,3285,2853,6138,Ciudad Autónoma de Buenos Aires
132,Prepaga a través de obra social,15,3220,3120,6340,Ciudad Autónoma de Buenos Aires
133,Prepaga a través de obra social,16,2929,2980,5909,Ciudad Autónoma de Buenos Aires
134,Prepaga a través de obra social,17,2787,3102,5889,Ciudad Autónoma de Buenos Aires
135,Prepaga a través de obra social,18,3251,3053,6304,Ciudad Autónoma de Buenos Aires
136,Prepaga a través de obra social,19,3323,3780,7103,Ciudad Autónoma de Buenos Aires
137,Prepaga a través de obra social,20,4117,3633,7750,Ciudad Autónoma de Buenos Aires
138,Prepaga a través de obra social,21,4039,4514,8553,Ciudad Autónoma de Buenos Aires
139,Prepaga a través de obra social,22,4347,4634,8981,Ciudad Autónoma de Buenos Aires
140,Prepaga a través de obra social,23,4544,4726,9270,Ciudad Autónoma de Buenos Aires
141,Prepaga a través de obra social,24,5220,5519,10739,Ciudad Autónoma de Buenos Aires
142,Prepaga a través de obra social,25,5196,6117,11313,Ciudad Autónoma de Buenos Aires
143,Prepaga a través de obra social,26,5516,6254,11770,Ciudad Autónoma de Buenos Aires
144,Prepaga a través de obra social,27,5350,6432,11782,Ciudad Autónoma de Buenos Aires
145,Prepaga a través de obra social,28,5646,6840,12486,Ciudad Autónoma de Buenos Aires
146,Prepaga a través de obra social,29,6292,7356,13648,Ciudad Autónoma de Buenos Aires
147,Prepaga a través de obra social,30,6815,7775,14590,Ciudad Autónoma de Buenos Aires
148,Prepaga a través de obra social,31,6933,7706,14639,Ciudad Autónoma de Buenos Aires
149,Prepaga a través de obra social,32,6408,7779,14187,Ciudad Autónoma de Buenos Aires
150,Prepaga a través de obra social,33,6373,7631,14004,Ciudad Autónoma de Buenos Aires
151,Prepaga a través de obra social,34,6647,7836,14483,Ciudad Autónoma de Buenos Aires
152,Prepaga a través de obra social,35,6312,7286,13598,Ciudad Autónoma de Buenos Aires
153,Prepaga a través de obra social,36,6067,7058,13125,Ciudad Autónoma de Buenos Aires
154,Prepaga a través de obra social,37,5686,6357,12043,Ciudad Autónoma de Buenos Aires
155,Prepaga a través de obra social,38,5988,5945,11933,Ciudad Autónoma de Buenos Aires
156,Prepaga a través de obra social,39,5338,5934,11272,Ciudad Autónoma de Buenos Aires
157,Prepaga a través de obra social,40,4840,6045,10885,Ciudad Autónoma de Buenos Aires
158,Prepaga a través de obra social,41,4580,5196,9776,Ciudad Autónoma de Buenos Aires
159,Prepaga a través de obra social,42,4430,4908,9338,Ciudad Autónoma de Buenos Aires
160,Prepaga a través de obra social,43,4074,4934,9008,Ciudad Autónoma de Buenos Aires
161,Prepaga a través de obra social,44,3837,4716,8553,Ciudad Autónoma de Buenos Aires
162,Prepaga a través de obra social,45,4259,4182,8441,Ciudad Autónoma de Buenos Aires
163,Prepaga a través de obra social,46,4038,4180,8218,Ciudad Autónoma de Buenos Aires
164,Prepaga a través de obra social,47,3804,4563,8367,Ciudad Autónoma de Buenos Aires
165,Prepaga a través de obra social,48,4022,4200,8222,Ciudad Autónoma de Buenos Aires
166,Prepaga a través de obra social,49,3523,4031,7554,Ciudad Autónoma de Buenos Aires
167,Prepaga a través de obra social,50,4009,4589,8598,Ciudad Autónoma de Buenos Aires
168,Prepaga a través de obra social,51,3301,4197,7498,Ciudad Autónoma de Buenos Aires
169,Prepaga a través de obra social,52,3564,3978,7542,Ciudad Autónoma de Buenos Aires
170,Prepaga a través de obra social,53,3392,3789,7181,Ciudad Autónoma de Buenos Aires
171,Prepaga a través de obra social,54,3179,4427,7606,Ciudad Autónoma de Buenos Aires
172,Prepaga a través de obra social,55,3408,4259,7667,Ciudad Autónoma de Buenos Aires
173,Prepaga a través de obra social,56,2978,4066,7044,Ciudad Autónoma de Buenos Aires
174,Prepaga a través de obra social,57,3132,3888,7020,Ciudad Autónoma de Buenos Aires
175,Prepaga a través de obra social,58,2910,3523,6433,Ciudad Autónoma de Buenos Aires
176,Prepaga a través de obra social,59,3049,3561,6610,Ciudad Autónoma de Buenos Aires
177,Prepaga a través de obra social,60,2850,3735,6585,Ciudad Autónoma de Buenos Aires
178,Prepaga a través de obra social,61,2657,2984,5641,Ciudad Autónoma de Buenos Aires
179,Prepaga a través de obra social,62,2737,2615,5352,Ciudad Autónoma de Buenos Aires
