,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad
0,66,1,2,35 a 39,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,10
1,50,1,1,25 a 29,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
2,50,1,1,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,33
3,22,1,1,25 a 29,22 a 23,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
4,46,1,1,15 a 19,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,2
5,50,1,1,25 a 29,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
6,14,2,2,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,9
7,6,1,2,40 a 44,28 a 31,Secundario/Polimodal Completa y más,Sin especificar,1
8,2,2,1,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Sin especificar,1
9,42,1,1,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
10,50,1,1,25 a 29,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,3
11,6,1,2,25 a 29,37 a 41,Sin especificar,Menos de 2500 gramos,13
12,82,1,2,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,7
13,14,1,2,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Sin especificar,1
14,90,1,2,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,3
15,78,1,1,Sin especificar,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
16,54,1,2,20 a 24,Sin especificar,Sin especificar,Sin especificar,4
17,54,1,2,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,33
18,6,1,2,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,68
19,2,1,2,30 a 34,37 a 41,Sin especificar,Menos de 2500 gramos,1
20,90,1,2,15 a 19,Sin especificar,Sin especificar,2500 gramos y más,2
21,34,2,2,15 a 19,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
22,14,2,2,25 a 29,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
23,66,1,1,20 a 24,32 a 36,Sin especificar,2500 gramos y más,1
24,62,1,1,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
25,10,1,1,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,371
26,14,9,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
27,66,1,1,30 a 34,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,5
28,90,1,2,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1218
29,6,2,1,15 a 19,22 a 23,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
30,6,9,2,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4
31,74,1,1,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,37
32,86,1,1,35 a 39,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
33,99,1,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,4
34,2,2,1,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
35,50,2,1,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,8
36,18,1,1,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,18
37,82,1,1,15 a 19,Sin especificar,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5
38,62,1,1,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,312
39,2,1,2,20 a 24,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,9
40,86,1,2,15 a 19,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,12
41,98,1,1,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,16
42,22,1,2,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,3
43,62,2,1,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2
44,14,2,1,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,2
45,14,2,2,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,6
46,90,2,1,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
47,50,1,1,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,17
48,10,1,2,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,3
49,58,1,2,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2
50,6,9,1,25 a 29,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
51,2,1,1,35 a 39,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,4
52,62,1,1,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,3
53,90,1,1,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,21
54,46,1,1,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,6
55,26,2,2,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
56,22,1,2,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
57,70,1,2,Menor de 15,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
58,10,1,1,15 a 19,42 y más,Sin especificar,2500 gramos y más,1
59,46,1,1,35 a 39,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
60,90,1,1,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,4
61,58,1,2,Menor de 15,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
62,74,1,2,35 a 39,37 a 41,Sin especificar,2500 gramos y más,22
63,6,1,9,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,10
64,46,1,2,20 a 24,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,5
65,50,1,2,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,920
66,6,2,2,20 a 24,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
67,14,2,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2
68,6,1,2,Sin especificar,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
69,26,1,2,40 a 44,28 a 31,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
70,10,1,1,30 a 34,Sin especificar,Secundaria/Polimodal Incompleta,Sin especificar,1
71,78,1,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6
72,2,1,1,20 a 24,22 a 23,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
73,6,1,2,De 45 y más,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
74,38,1,1,30 a 34,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,22
75,6,1,1,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,398
76,6,2,1,35 a 39,37 a 41,Sin especificar,2500 gramos y más,4
77,10,1,1,30 a 34,32 a 36,Sin especificar,2500 gramos y más,1
78,50,1,1,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,23
79,90,2,2,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,6
80,62,2,1,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1
81,94,1,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,18
82,90,1,2,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,2
83,99,1,2,Sin especificar,Sin especificar,Sin especificar,2500 gramos y más,2
84,74,1,1,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
85,62,2,2,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
86,10,1,1,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,192
87,6,1,2,Sin especificar,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,242
88,22,1,1,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,8
89,70,1,2,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1
90,86,1,2,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10
91,46,1,1,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,171
92,98,1,1,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
93,42,1,1,30 a 34,37 a 41,Sin especificar,2500 gramos y más,16
94,82,1,1,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,26
95,58,1,1,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,1
96,6,1,1,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Sin especificar,4
97,14,2,2,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,12
98,18,1,2,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,307
99,30,1,2,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,16
100,78,1,2,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,1
101,22,1,1,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,3
102,34,1,1,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,1
103,78,2,1,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
104,22,1,1,15 a 19,28 a 31,Hasta Primaria/C.EGB Completa,Sin especificar,1
105,66,1,2,35 a 39,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,2
106,22,1,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,15
107,50,1,1,20 a 24,22 a 23,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
108,82,2,1,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1
109,6,9,1,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
