,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad
110,50,1,1,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,20
111,54,1,1,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
112,2,1,2,20 a 24,32 a 36,Sin especificar,2500 gramos y más,2
113,86,1,9,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1
114,54,1,2,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,26
115,18,1,1,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
116,38,1,1,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,83
117,62,1,2,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,84
118,54,1,2,15 a 19,Sin especificar,Sin especificar,Sin especificar,7
119,90,1,1,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,411
120,90,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,53
121,22,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1119
122,6,1,1,Sin especificar,42 y más,Sin especificar,2500 gramos y más,3
123,6,1,1,35 a 39,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,12
124,6,1,1,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,Sin especificar,7
125,2,2,2,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,1
126,18,1,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,5
127,66,1,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1070
128,46,1,1,25 a 29,28 a 31,Secundario/Polimodal Completa y más,2500 gramos y más,1
129,6,1,1,40 a 44,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
130,10,1,2,20 a 24,32 a 36,Sin especificar,Menos de 2500 gramos,4
131,50,2,2,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,3
132,2,1,1,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,17
133,42,1,1,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,67
134,2,1,1,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,13
135,38,1,1,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5
136,22,1,1,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,13
137,18,1,1,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
138,70,1,1,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,20
139,6,9,2,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Sin especificar,2
140,66,1,2,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,7
141,70,1,1,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6
142,78,1,1,35 a 39,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,4
143,82,2,1,20 a 24,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
144,50,1,1,20 a 24,28 a 31,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
145,58,2,1,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,3
146,86,1,2,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,8
147,46,1,1,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,1
148,22,1,1,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,13
149,82,1,2,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
150,14,9,1,30 a 34,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,3
151,6,9,1,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
152,6,1,2,25 a 29,42 y más,Hasta Primaria/C.EGB Completa,Sin especificar,1
153,18,2,2,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
154,82,1,2,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1465
155,6,2,2,35 a 39,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
156,14,1,1,20 a 24,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,4
157,66,1,2,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5
158,6,1,2,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,450
159,78,1,2,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
160,14,1,2,30 a 34,37 a 41,Sin especificar,2500 gramos y más,308
161,14,1,1,40 a 44,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2
162,90,2,1,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,6
163,58,1,1,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4
164,22,1,1,35 a 39,37 a 41,Sin especificar,Sin especificar,1
165,62,1,1,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
166,54,1,1,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,19
167,2,1,1,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,131
168,6,1,2,30 a 34,Sin especificar,Secundaria/Polimodal Incompleta,Sin especificar,5
169,26,1,2,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
170,18,1,1,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,679
171,46,1,2,30 a 34,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
172,82,1,2,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,28
173,74,1,1,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4
174,6,2,1,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,17
175,62,1,1,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,24
176,54,1,2,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,170
177,66,2,2,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,7
178,34,1,2,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,2
179,22,2,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
180,74,1,1,Menor de 15,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,3
181,62,1,1,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
182,86,1,2,15 a 19,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,2
183,38,1,1,20 a 24,32 a 36,Sin especificar,2500 gramos y más,1
184,86,1,2,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
185,30,1,1,20 a 24,37 a 41,Sin especificar,2500 gramos y más,3
186,82,2,1,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,24
187,54,1,2,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5
188,99,1,2,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,11
189,42,2,2,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1
190,74,1,2,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5
191,54,1,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4
192,66,1,1,30 a 34,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,7
193,14,1,1,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10
194,94,1,2,30 a 34,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,1
195,62,1,1,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9
196,6,2,2,Menor de 15,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
197,18,1,1,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,14
198,2,2,2,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,6
199,82,1,1,15 a 19,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,14
200,42,1,1,35 a 39,Sin especificar,Sin especificar,2500 gramos y más,1
201,74,1,1,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
202,86,1,1,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,20
203,86,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,3
204,66,1,2,35 a 39,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
205,90,2,2,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1
206,82,1,1,20 a 24,32 a 36,Sin especificar,Menos de 2500 gramos,1
207,26,2,1,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3
208,30,1,1,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,1
209,6,2,2,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,23
210,26,1,2,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,7
211,70,1,1,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10
212,54,1,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,5
213,94,1,1,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
214,10,1,2,Sin especificar,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
215,6,1,1,15 a 19,28 a 31,Hasta Primaria/C.EGB Completa,Sin especificar,4
216,6,9,2,35 a 39,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,15
217,86,1,1,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,10
218,30,1,1,35 a 39,42 y más,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
219,66,1,1,20 a 24,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3
220,2,1,1,Sin especificar,28 a 31,Sin especificar,Menos de 2500 gramos,1
221,66,1,1,35 a 39,37 a 41,Sin especificar,2500 gramos y más,17
222,6,2,2,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,1
223,50,1,2,Sin especificar,37 a 41,Sin especificar,2500 gramos y más,6
224,6,9,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,12
225,6,1,1,30 a 34,42 y más,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
226,66,1,1,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
227,54,1,2,Menor de 15,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1
228,14,2,2,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5
229,10,1,1,15 a 19,32 a 36,Sin especificar,2500 gramos y más,2
230,54,1,2,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,981
231,46,1,1,20 a 24,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
232,66,1,2,25 a 29,Sin especificar,Sin especificar,Sin especificar,2
233,14,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1017
234,6,2,1,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,49
235,94,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,10
236,6,2,2,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
237,2,1,2,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,9
238,82,1,1,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,469
239,6,1,1,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5
240,30,1,1,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,8
241,78,2,2,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,2
242,6,1,1,35 a 39,Sin especificar,Sin especificar,2500 gramos y más,11
243,66,1,1,30 a 34,Sin especificar,Sin especificar,2500 gramos y más,2
244,30,1,9,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
245,54,1,1,35 a 39,Sin especificar,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3
246,18,2,1,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
247,90,1,2,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,25
248,6,2,1,35 a 39,32 a 36,Sin especificar,2500 gramos y más,4
249,46,1,1,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
250,74,1,1,25 a 29,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,2
251,50,1,1,35 a 39,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,1
252,70,2,1,25 a 29,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
253,74,1,2,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,175
254,2,1,1,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
255,10,1,1,20 a 24,Sin especificar,Sin especificar,Sin especificar,1
256,30,1,1,15 a 19,37 a 41,Sin especificar,2500 gramos y más,4
257,82,1,1,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,1
258,22,1,2,40 a 44,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,3
259,14,1,1,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
260,90,1,1,35 a 39,Sin especificar,Sin especificar,Sin especificar,1
261,54,1,2,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,106
262,66,1,2,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,20
263,90,2,1,20 a 24,Menos de 22,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
264,14,1,1,35 a 39,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
265,6,9,1,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,14
266,54,1,2,20 a 24,Menos de 22,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
267,2,1,2,Sin especificar,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,1
268,14,9,2,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2
269,18,2,1,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
270,6,1,2,40 a 44,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5
271,22,1,1,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,7
272,86,2,1,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,6
273,38,2,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1
274,70,1,1,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
275,6,2,2,15 a 19,Menos de 22,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
276,2,2,2,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,40
277,38,2,1,25 a 29,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
278,74,2,2,15 a 19,37 a 41,Sin especificar,Menos de 2500 gramos,2
279,38,1,1,40 a 44,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
280,94,2,2,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2
281,82,1,2,25 a 29,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,3
282,86,1,1,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,2
283,66,2,1,Sin especificar,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
284,98,1,1,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2
285,58,2,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
286,22,1,1,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,635
287,14,2,1,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4
